,CLOSE
2017-06-01,12000.0
2017-06-02,12000.0
2017-06-05,12200.0
2017-06-06,12000.0
2017-06-07,12100.0
2017-06-08,12000.0
2017-06-09,12100.0
2017-06-12,12300.0
2017-06-13,12300.0
2017-06-14,12100.0
2017-06-15,12400.0
2017-06-16,12400.0
2017-06-19,12300.0
2017-06-20,12300.0
2017-06-21,12250.0
2017-06-22,12200.0
2017-06-23,12300.0
2017-06-26,12400.0
2017-06-27,12500.0
2017-06-28,12700.0
2017-06-29,13200.0
2017-06-30,13100.0
2017-07-03,13200.0
2017-07-04,12600.0
2017-07-05,12500.0
2017-07-06,12500.0
2017-07-07,12500.0
2017-07-10,12400.0
2017-07-11,12400.0
2017-07-12,13000.0
2017-07-13,12950.0
2017-07-14,12800.0
2017-07-17,13100.0
2017-07-18,13100.0
2017-07-19,13050.0
2017-07-20,13800.0
2017-07-21,13500.0
2017-07-24,13300.0
2017-07-25,13300.0
2017-07-26,13200.0
2017-07-27,13000.0
2017-07-28,12800.0
2017-07-31,12100.0
2017-08-01,12200.0
2017-08-02,12000.0
2017-08-03,12100.0
2017-08-04,12500.0
2017-08-07,12500.0
2017-08-08,12500.0
2017-08-09,12800.0
2017-08-10,12900.0
2017-08-11,12500.0
2017-08-14,12500.0
2017-08-15,12600.0
2017-08-16,12800.0
2017-08-17,13100.0
2017-08-18,12900.0
2017-08-21,13100.0
2017-08-22,13000.0
2017-08-23,12900.0
2017-08-24,12900.0
2017-08-25,13100.0
2017-08-28,13000.0
2017-08-29,13050.0
2017-08-30,13000.0
2017-08-31,13100.0
2017-09-01,13100.0
2017-09-04,13800.0
2017-09-05,14000.0
2017-09-06,14300.0
2017-09-07,14300.0
2017-09-08,14300.0
2017-09-11,13700.0
2017-09-12,13800.0
2017-09-13,13900.0
2017-09-14,13800.0
2017-09-15,13300.0
2017-09-18,12800.0
2017-09-19,12800.0
2017-09-20,12400.0
2017-09-21,12300.0
2017-09-22,12200.0
2017-09-25,12200.0
2017-09-26,12400.0
2017-09-27,12300.0
2017-09-28,11600.0
2017-09-29,11300.0
